N,alpha,cutoff
64,0.05,0.0299
65,0.001,0.0834
65,0.005,0.0603
65,0.01,0.0508
65,0.05,0.0296
66,0.001,0.0835
66,0.005,0.0617
66,0.01,0.0509
66,0.05,0.0297
67,0.001,0.0797
67,0.005,0.0577
67,0.01,0.0489
67,0.05,0.0287
68,0.001,0.0811
68,0.005,0.0584
68,0.01,0.049
68,0.05,0.0287
69,0.001,0.0817
69,0.005,0.056
69,0.01,0.0472
69,0.05,0.0277
70,0.001,0.0774
70,0.005,0.0555
70,0.01,0.0472
70,0.05,0.0272
71,0.001,0.0746
71,0.005,0.0549
71,0.01,0.046
71,0.05,0.0272
72,0.001,0.074
72,0.005,0.0543
72,0.01,0.0454
72,0.05,0.0263
73,0.001,0.0733
73,0.005,0.0539
73,0.01,0.0456
73,0.05,0.0264
74,0.001,0.0721
74,0.005,0.0536
74,0.01,0.0454
74,0.05,0.026
75,0.001,0.0711
75,0.005,0.0533
75,0.01,0.0446
75,0.05,0.0258
76,0.001,0.0712
76,0.005,0.0514
76,0.01,0.0432
76,0.05,0.0249
77,0.001,0.0729
77,0.005,0.0509
77,0.01,0.043
77,0.05,0.025
78,0.001,0.0662
78,0.005,0.0497
78,0.01,0.0426
78,0.05,0.0247
79,0.001,0.0674
79,0.005,0.049
79,0.01,0.0411
79,0.05,0.0243
80,0.001,0.0639
80,0.005,0.0493
80,0.01,0.0413
80,0.05,0.0236
81,0.001,0.0647
81,0.005,0.0489
81,0.01,0.0417
81,0.05,0.0237
82,0.001,0.0653
82,0.005,0.0479
82,0.01,0.0401
82,0.05,0.0235
83,0.001,0.0651
83,0.005,0.0481
83,0.01,0.0398
83,0.05,0.0231
84,0.001,0.0601
84,0.005,0.0465
84,0.01,0.0393
84,0.05,0.0227
85,0.001,0.0629
85,0.005,0.0464
85,0.01,0.039
85,0.05,0.0227
86,0.001,0.0621
86,0.005,0.0452
86,0.01,0.0379
86,0.05,0.0222
87,0.001,0.0605
87,0.005,0.0444
87,0.01,0.0372
87,0.05,0.0221
88,0.001,0.059
88,0.005,0.0446
88,0.01,0.0378
88,0.05,0.0221
89,0.001,0.0587
89,0.005,0.0442
89,0.01,0.0375
89,0.05,0.0216
90,0.001,0.0609
90,0.005,0.043
90,0.01,0.0365
90,0.05,0.0213
91,0.001,0.0621
91,0.005,0.0438
91,0.01,0.0364
91,0.05,0.0211
92,0.001,0.0561
92,0.005,0.0424
92,0.01,0.0357
92,0.05,0.0209
93,0.001,0.0586
93,0.005,0.0423
93,0.01,0.0356
93,0.05,0.021
94,0.001,0.058
94,0.005,0.0425
94,0.01,0.0359
94,0.05,0.0205
95,0.001,0.0568
95,0.005,0.0418
95,0.01,0.0346
95,0.05,0.0202
96,0.001,0.0545
96,0.005,0.041
96,0.01,0.034
96,0.05,0.0198
97,0.001,0.0552
97,0.005,0.0407
97,0.01,0.0338
97,0.05,0.0197
98,0.001,0.0549
98,0.005,0.0405
98,0.01,0.034
98,0.05,0.0198
99,0.001,0.055
99,0.005,0.0386
99,0.01,0.0331
99,0.05,0.0191
100,0.001,0.0528
100,0.005,0.0386
100,0.01,0.0324
100,0.05,0.019
101,0.001,0.0524
101,0.005,0.0391
101,0.01,0.0324
101,0.05,0.0188
102,0.001,0.0527
102,0.005,0.0378
102,0.01,0.0321
102,0.05,0.0188
103,0.001,0.0499
103,0.005,0.0379
103,0.01,0.0319
103,0.05,0.0187
104,0.001,0.0513
104,0.005,0.0372
104,0.01,0.0317
104,0.05,0.0184
105,0.001,0.0498
105,0.005,0.0372
105,0.01,0.0315
105,0.05,0.0182
106,0.001,0.0509
106,0.005,0.0373
106,0.01,0.0315
106,0.05,0.0184
107,0.001,0.0495
107,0.005,0.0367
107,0.01,0.0308
107,0.05,0.018
108,0.001,0.0515
108,0.005,0.0367
108,0.01,0.0311
108,0.05,0.0178
109,0.001,0.0513
109,0.005,0.0372
109,0.01,0.031
109,0.05,0.0177
110,0.001,0.0494
110,0.005,0.0357
110,0.01,0.03
110,0.05,0.0171
111,0.001,0.0473
111,0.005,0.0354
111,0.01,0.0299
111,0.05,0.0172
112,0.001,0.0488
112,0.005,0.035
112,0.01,0.0297
112,0.05,0.0173
113,0.001,0.0469
113,0.005,0.0345
113,0.01,0.0291
113,0.05,0.0168
114,0.001,0.0461
114,0.005,0.0344
114,0.01,0.0292
114,0.05,0.0168
115,0.001,0.0466
115,0.005,0.0342
115,0.01,0.0287
115,0.05,0.0167
116,0.001,0.0458
116,0.005,0.0336
116,0.01,0.0287
116,0.05,0.0167
117,0.001,0.0461
117,0.005,0.0332
117,0.01,0.0285
117,0.05,0.0165
118,0.001,0.0447
118,0.005,0.0339
118,0.01,0.0284
118,0.05,0.0164
119,0.001,0.0438
119,0.005,0.0322
119,0.01,0.0277
119,0.05,0.016
120,0.001,0.0448
120,0.005,0.0324
120,0.01,0.0274
120,0.05,0.016
121,0.001,0.0456
121,0.005,0.0326
121,0.01,0.0277
121,0.05,0.0159
122,0.001,0.0432
122,0.005,0.0321
122,0.01,0.0268
122,0.05,0.0157
123,0.001,0.0421
123,0.005,0.032
123,0.01,0.0268
123,0.05,0.0158
124,0.001,0.0433
124,0.005,0.0326
124,0.01,0.0268
124,0.05,0.0153
125,0.001,0.0436
125,0.005,0.0315
125,0.01,0.0266
125,0.05,0.0153
126,0.001,0.0417
126,0.005,0.0304
126,0.01,0.0261
126,0.05,0.0152
127,0.001,0.0401
127,0.005,0.0306
127,0.01,0.0258
127,0.05,0.0152
128,0.001,0.0406
128,0.005,0.0305
128,0.01,0.0259
128,0.05,0.0149
129,0.001,0.0427
129,0.005,0.0305
129,0.01,0.0254
129,0.05,0.0149
130,0.001,0.041
130,0.005,0.0301
130,0.01,0.0249
130,0.05,0.0146
131,0.001,0.04
131,0.005,0.0299
131,0.01,0.0248
131,0.05,0.0146
132,0.001,0.0425
132,0.005,0.0299
132,0.01,0.0249
132,0.05,0.0144
133,0.001,0.04
133,0.005,0.0298
133,0.01,0.0251
133,0.05,0.0145
134,0.001,0.04
134,0.005,0.0292
134,0.01,0.0246
134,0.05,0.0145
135,0.001,0.0403
135,0.005,0.029
135,0.01,0.0244
135,0.05,0.0143
136,0.001,0.039
136,0.005,0.0281
136,0.01,0.0237
136,0.05,0.0141
137,0.001,0.0379
137,0.005,0.0284
137,0.01,0.024
137,0.05,0.014
138,0.001,0.0394
138,0.005,0.0283
138,0.01,0.0241
138,0.05,0.0139
139,0.001,0.0374
139,0.005,0.0278
139,0.01,0.0237
139,0.05,0.0139
140,0.001,0.0394
140,0.005,0.0285
140,0.01,0.0239
140,0.05,0.0137
141,0.001,0.0376
141,0.005,0.0273
